region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00,,,0.19150870198842818,0.17034220214920268,0.15302118814006427,0.13346558928386057,0.129799507799753,0.12830110484529406,0.12567205110093085,0.12541411437649852,0.12672354373765068,0.12508324433938492,0.1218803212319346,0.1151055055383392,0.10825367270980009,0.10733719727237913,0.1035222843361619,0.09052435122076824,0.09155809043394741
01,,,0.1866789656159547,0.16446903696727103,0.14895876349477907,0.1234649537124504,0.1205945085824559,0.12102879434030878,0.12083375976529186,0.11461146114611462,0.11409713995599932,0.11839272901219804,0.11088089407923651,0.10057264539149953,0.0955642443036268,0.09178789745533811,0.09165141150399846,0.07473594633828903,0.07879703633013904
02,,,,,,,,,,,,,,,,0.10510901399284087,0.12171575216913112,0.11983937758815409,0.12784371909000988
04,,,0.20177155036863623,0.17275269802645093,0.14413390663390663,0.11137029053119268,0.10714224850457574,0.10873470784498246,0.1055602257715864,0.10678897106340203,0.10883320225924073,0.10981509352827348,0.10994265518615409,0.1052827020568956,0.10025239185302577,0.09857442064725357,0.09952044619354167,0.0914490504527236,0.09397025655483507
05,,,0.20186915887850468,0.182814640829908,0.17521669018343075,0.15077389327849333,0.14205173557373424,0.14307922935983566,0.14118036039014714,0.1405644714997233,0.14209631728045327,0.13888280394304492,0.136495744239153,0.12431019459773453,0.11511717744012362,0.11266243811881188,0.1098105230191043,0.09630242825607065,0.09849508006945784
06,,,0.237639216086706,0.20995013788684921,0.1894478927322569,0.1714298554752016,0.16563958322558572,0.16249951679616528,0.162002567394095,0.16456214970869054,0.16886670443249713,0.16317023540227035,0.16361988412771383,0.15695998630167393,0.1512077118065711,0.1511468227370073,0.14326643673790837,0.12744180340159855,0.12781241841107
08,,,0.2038122383539681,0.18280203319083044,0.16253663301856072,0.13788500853227906,0.13411240957150808,0.12202029356075932,0.12183139777759211,0.12226909994767138,0.12169767078317961,0.12182306408302489,0.1197824402125775,0.1124769840113391,0.10596469495199752,0.10532634177831636,0.09998156384670338,0.09261536816213037,0.0905632273636796
09,,,0.14964345637583892,0.13171746052375072,0.11994272584995505,0.10625044748335362,0.10722217967373822,0.11004313933247559,0.112209457654288,0.10774746802690914,0.10788302848233638,0.10511709245742093,0.10783459045597543,0.09396165561727289,0.09039529349550503,0.08692210723813433,0.08889294514921968,0.07940022944958779,0.0806485709453746
10,,,0.13200280112044818,0.11714334646343552,,,,0.08619112940100594,,,,0.07669298875329027,0.07929104477611941,0.07208984671422067,0.06292289790113348,0.06106754555441906,0.06357090601055022,0.061856002060793405,0.06039175441727646
11,,,,,,,,,,,,,,,,0.07267393126571668,0.0704967182562191,0.05692276228781785,0.059204660286512514
12,,,0.15646373504074834,0.13261519058006224,0.1165621896391538,0.10639957761684489,0.1093260903986456,0.10752317174536957,0.10327445672273258,0.10088154634551617,0.10236485648146507,0.10068135055823524,0.09601400191218284,0.08955180374507381,0.08590932116826712,0.0849861223911487,0.08083088733348386,0.07295662554715479,0.07315735807733338
13,,,0.1640164118475576,0.14222876565425233,0.11972937054488342,0.09859015270340923,0.09202131582829326,0.09232475436280979,0.08914766962658359,0.08856948277716047,0.09229457134381489,0.09140324396010924,0.08686286828599636,0.07992263864931264,0.07529867880171028,0.07545179882001873,0.07171180975646466,0.05929050226241036,0.06125018379650052
15,,,,,,,,,0.09535770769373896,,0.09534226597393128,,0.09155405405405405,,,0.07774469186949767,0.07709766162310866,0.07086815079415705,0.07247959236728539
16,,,0.2674426251068587,0.23076923076923078,0.1900374487309041,0.15677268988209486,0.1475295755045233,0.14486126181987288,0.1447664814536717,0.13916099603679055,0.15493905630748522,0.15412710007304603,0.15498056039683603,0.14593232953569588,0.15252632165338978,0.14299512666286165,0.14507843953908095,0.14152009766243162,0.13840258735850383
17,,,0.18841304053561575,0.17295891413012557,0.15818668897453517,0.13406994289206792,0.13667355371900827,0.13506632047179115,0.13295887622962269,0.13772138788192645,0.13712172508984843,0.13432958455297078,0.13231657048639736,0.12594076292278555,0.11895424836601307,0.11535832678309012,0.10901609502925215,0.08812335768531085,0.0900538719180017
18,,,0.2022077138886704,0.18581664803333672,0.16505382997153817,0.12351249620087439,0.09864035176592166,0.10789212988442487,0.11049062624650978,0.11306266747731315,0.11348871865322374,0.11184726081071454,0.11348245434024215,0.1095723465543984,0.10392590601806868,0.10143186714713341,0.09902891112506,0.08643860280878646,0.08672731031631177
19,,,0.22407581887712685,0.18805922454196847,,0.16077369875373598,0.1504435039712447,0.14699183378701183,0.13895808512942706,0.1389778960517026,0.13809550219067163,0.13596886983983758,0.1392747322659315,0.1310200418785522,0.12368143459915612,0.1222598685553333,0.1210760297586645,0.11353693596100163,0.1171417020416414
20,,,0.22025875670558537,0.19025309364974283,0.1815608784527491,0.16190215905985242,,0.14324750394114555,0.14071598561952503,0.13478061924856374,0.13959338741143854,0.14179540266496787,0.13835367946266608,0.1252339947585174,0.11678898664357022,0.11461013764653025,0.11914912514432899,0.10997588785810618,0.11015026468944202
21,,,0.1874413879337293,0.17211597779148674,0.16210409040267387,0.13768174474959613,0.1396066821738211,0.13466324155093523,0.13182380895331655,0.13170325090302862,0.13809391497638232,0.12451377471227493,0.12787492123503466,0.11600307681037325,0.10249487688254237,0.09992044081680762,0.10113852565457675,0.09059372915276852,0.09256247227561733
22,,,0.14900744076219763,0.1374818401937046,0.12364229273799072,0.10837157449897591,0.1027590701716272,0.0965446390538475,0.09851232329213233,0.0960707568749047,0.09430355549891678,0.09546034174955369,0.08358760774182053,0.07144292604501608,0.07141097785103924,0.07049560322307664,0.06485668407744412,0.05343835988521086,0.053621684197920204
23,,,,,,,,,,,,,,0.18787878787878787,,0.15773591806876372,0.16556622649059624,0.15476639035418235,0.15536639526276833
24,,,0.14962511629603956,0.1280447156556074,0.11074053906888102,0.09583987727820592,0.09899165789260549,0.09399630242288605,0.0934618768889399,0.09293902393487921,0.09305954969488672,0.08967596081386586,0.08810335847852019,0.08117974829474493,0.0745852340413168,0.07335979081774864,0.07194795254496747,0.06198682209832742,0.06479325920778319
25,,,0.19546358596758495,0.1702426432627775,0.16033467087851105,0.15099273383625678,0.1435605019694055,0.13782335316706756,0.13646028236094573,0.14362994738287935,0.141802682191496,0.1385859576032349,0.14435507893952934,0.1382603159905087,0.13341663950161178,0.13339495798319329,0.1306864745165734,0.11922117628127765,0.12101197067974477
26,,,0.16171470418998796,0.14267192068132706,0.1255422109670787,0.1083029208930218,0.10519914045923263,0.10405009674214297,0.10360022624731989,0.1018130356999813,0.10686364445418076,0.10682699131953922,0.10308895172102532,0.09566588258845904,0.09176708717755602,0.08838154080531517,0.08407182343756593,0.06911700543126664,0.07226350006633939
27,,,0.2178541973858496,0.18583651375689092,0.1686072218128224,0.14578208282082822,0.1271694540864626,0.129,0.1272931965304608,0.12825134560020027,0.132066822858307,0.13316731277759236,0.1366481486136598,0.13061497989775153,0.12075601374570447,0.11869610935856993,0.11868768788252342,0.11069439495940143,0.10899379685070883
28,,,0.16784810126582278,,0.13412783431530084,0.11242372467659263,0.10570835232740718,0.10977624267908094,0.1012732043930411,0.10392254220456802,,0.0997982452024586,0.09307068165054021,0.08381792660918388,0.07108738409665637,0.0702851343830818,0.06984440131097464,0.056012988519076885,0.05505357306389084
29,,,0.2068529607451763,0.1898248645914561,0.15982292779728285,0.14225381366688974,0.14140928959123877,0.1351873576702781,0.13511179785493546,0.13664651493598862,0.14365680097901465,0.1493463530378043,0.14003903380831462,0.12601352002002966,0.10594708075433452,0.11028565626480742,0.10707022776572668,0.0958384802146782,0.09723997538228471
30,,,0.23231340643792006,0.21792756014939632,,,,,,,,,0.1569069069069069,0.14440757018566688,0.1350577064745846,0.1225839927357634,0.12426454951442546,0.11975127039315325,0.12164926821591565
31,,,0.2506688808930713,,0.2097094387294712,,,,0.1664962508520791,,0.1591792835277571,0.15960885728139648,0.1646811492641906,0.16288643778157527,0.1379638439581351,0.1326017098162857,0.14230071855483178,0.12946260804208945,0.13256693076484904
32,,,0.1319724500430468,0.1196809705684116,0.10963117123366863,0.08949028338203237,0.09338779407474207,0.10150489295797813,0.09393221806330049,0.09887291099883405,0.10085216560669666,0.09574958174720559,0.10090447280386569,0.0943779578284893,0.09150906897885801,0.09514359857818872,0.09638469142776444,0.09003536829155774,0.08835807731882993
33,,,0.19424795234549516,,,,,,,,,,,,0.11615357395612173,0.1101793617516888,0.12203481554974294,0.11403353927625773,0.12017511856986501
34,,,0.16653751481447715,0.14969802029391954,0.12950962375471517,0.11409281742879837,0.11581890653816408,0.1158928243714443,0.11242308331947447,0.11287004740184241,0.11359192545905382,0.11161262001508279,0.10697609514711091,0.10258441017090454,0.09619566282053793,0.09476522007497708,0.0900530035335689,0.07885135583351145,0.0804646135243574
35,,,0.2427710843373494,0.21213257348530293,0.17092337917485265,0.1462135205024012,0.13960520789584208,0.13997870423458106,,0.13388616053457852,0.12775621438599388,0.1249808663707332,,,0.10437296266683067,0.0969407584254067,0.0981672394043528,0.09493705983474741,0.09046823423937406
36,,,0.18345272082857028,0.1709612068243843,0.1586227240695521,0.1510743345110541,0.15373911009764368,0.1465889476203023,0.1414326328930666,0.14283443540183113,0.14165561347769312,0.13393609487032357,0.13313070816005732,0.1264353163824634,0.11867846114555038,0.11682386623107457,0.11225694957056387,0.09948554139802457,0.09962582755866972
37,,,0.19368057951017592,0.17230221436739787,0.15133121809904815,0.13272824934234992,0.1326104722433016,0.13025740791823343,0.12261353366470853,0.12249957499858333,0.12600235518420905,0.12884131330733273,0.12463560514676317,0.12511108442416236,0.11710820854975768,0.11468168740122381,0.10998368052222329,0.09599964362081255,0.09840863255986462
38,,,,,,,,,,,,,,,,0.10842814023682378,0.1292447306791569,0.12338156892612338,0.12978723404255318
39,,,0.183344364883567,0.16684109802045333,0.1475784142967961,0.12422046682900754,0.11468759645487014,0.11209700427960057,0.10776293251113395,0.10709650697224907,0.10498140426011496,0.10512573082817733,0.1005789103500514,0.09745379345999741,0.08638471331628064,0.08810245081420401,0.08449566877110556,0.07519599744385043,0.0756772749491883
40,,,0.20031148027291604,0.1832790522887513,0.17317638665953272,0.15075533946865774,0.136244672100501,0.13439890316062925,0.1394603829999288,0.13559738708997682,0.1334119197032209,0.1310451347176935,0.12321880410174457,0.11145181856821908,0.10109902433553886,0.10354874859917819,0.10301213627723352,0.09327906720932791,0.09052905464006938
41,,,0.25284806936183085,0.2185719074756956,0.19494910062760878,0.16142757350606465,0.15633599339570722,0.15586225651833974,0.15646560557415123,0.1580428814678389,0.16128047746617383,0.16512964448008555,0.15507774117103057,0.15185881832263776,0.14465015753977553,0.14601481624478174,0.13964421855146125,0.12898583091391846,0.1310770343871214
42,,,0.18971281160335887,0.1671667709437287,0.16040080982035315,0.14138382625777585,0.13450507740025777,0.13353874212446115,0.12976844243128766,0.13171302763033615,0.1270032628778845,0.12706194713529,0.12277981742409208,0.1162057771142864,0.1075163184666099,0.10857680860110551,0.10369365002423656,0.09325997463054762,0.09528339328574939
44,,,,,,,,,,,,0.16786865121988645,,,,0.12144803425457376,0.1356754199195647,0.12746937424125374,0.13269601824241362
45,,,0.20130918220946914,0.1726779268729507,0.1477082946743366,0.12378159474933668,0.11900338095093052,0.1212377727614748,0.12080789102865194,0.1214411302014251,0.12402194441946218,0.12705048000691901,0.1183533447684391,0.1069539198084979,0.10758757000109806,0.10523434965942265,0.09850164876487263,0.08424293310943184,0.08433734939759036
46,,,,,,,,,,,,,,,,0.11683107274969173,0.13703943115707823,0.1405012336060252,0.14035785288270378
47,,,0.20468087390627515,0.1817335261107163,0.16274589091601055,0.13736477546890807,0.14122304122304122,0.14096714096714097,0.1176785050204537,0.12261701654179957,0.1241003647835946,0.12145313843508168,0.11699201717314013,0.11463435410366711,0.10599284436493739,0.10444133589788425,0.0998356962582787,0.08811929833879985,0.09176565245929408
48,,,0.1822595885654436,0.1692850169903819,0.15849846294449985,0.13750989002819652,0.13333512467755804,0.13244521623245178,0.1325975394071769,0.12982248294575124,0.13194750203752798,0.13065676386855743,0.12325039853772128,0.11657151615004406,0.11248231863976213,0.1133217877839206,0.10841386503267442,0.09678117169573716,0.09898731573119596
49,,,0.21541981083757297,0.18856479465970105,0.16086800077500069,0.128292739910052,0.12247525055935268,0.1274375695880388,0.12987550546056612,0.11339581831290556,0.10907626208378088,0.1097526227172646,0.10803022230832567,0.10822172704509431,0.10742245355676865,0.10910005027652087,0.10792955964739664,0.10712665443714618,0.10434092532338703
50,,,,,,,,,,,,,,,,0.09901738473167045,0.11953612845673506,0.11521624934337243,0.10561319499866986
51,,,0.1984616579908321,0.1690716514554431,0.1503891649443736,0.12583920972177412,0.12055382769454225,0.12424732923276141,0.1171579626840439,0.11449729841143648,0.11228721398950207,0.11387503750589378,0.1090352471675163,0.10324161277150648,0.09814823886738842,0.09601428406865568,0.0930245731700409,0.0820890668698375,0.08366101901976804
53,,,0.264286857691692,0.2411931383060193,0.21871500037332936,0.18889474965511646,0.1771714995493218,0.17792754485925674,0.17314451318520954,0.17275345381693727,0.17429282827870526,0.1822637340564427,0.17751215709566057,0.1717380887185104,0.1650181946425995,0.16340010984881334,0.14957971321607685,0.13447252094741705,0.1384032224970032
54,,,,,,,,,,,,,,,,0.09682610639248994,0.09900592428958731,0.09331131296449216,0.09211119459053344
55,,,0.18669759839717395,0.1730981256890849,0.15433930274451627,0.13073295023311288,0.12432202186568224,0.1166671188648018,0.11691269275091917,0.11656863284041559,0.1207417351904682,0.12218892654101436,0.11765176784523015,0.11634414847276855,0.10363447056829463,0.10288907958721148,0.1029103184016057,0.092515161788526,0.09361499315837216
56,,,,,,,,,,,,0.13105251193453057,,,,0.07399103139013453,0.07751569838003272,0.07172892427025923,0.06818316100443131
